policy,dataset,condition,shift_type,severity,n_samples,n_real,n_fake,false_alarm_exposure,missed_risky_fake,unsafe_pass,review_load,auto_block_precision,block_rate,label_rate,allow_rate,mean_risk_score
detector_only,ffpp,clean,clean,none,197,84,113,0.0,0.0265486725663716,0.0,0.015228426395939,1.0,0.5431472081218274,0.0203045685279187,0.4213197969543147,0.566246459951507
detector_only,ffpp,jpeg_q50,jpeg_mild,strong,197,84,113,0.0,0.2654867256637168,0.1504424778761062,0.0812182741116751,1.0,0.3401015228426396,0.065989847715736,0.5126903553299492,0.4240612123450941
detector_only,ffpp,blur_s2,blur_mild,moderate,197,84,113,0.7857142857142857,0.0176991150442477,0.0088495575221238,0.1218274111675127,0.7124183006535948,0.7766497461928934,0.0710659898477157,0.0304568527918781,0.8801919796299209
detector_only,ffpp,combo_comp_blur_noise,mixed_severe,severe,197,84,113,0.0,0.0619469026548672,0.0,0.1319796954314721,1.0,0.4060913705583756,0.0862944162436548,0.3756345177664975,0.5699950478437706
detector_only,dfdc,clean_cross_dataset,cross_dataset,cross_dataset,354,71,283,0.0,0.8091872791519434,0.6325088339222615,0.0762711864406779,1.0,0.0762711864406779,0.1807909604519774,0.6666666666666666,0.2748169770109231
detector_provenance,ffpp,clean,clean,none,197,84,113,0.0119047619047619,0.0,0.0,0.065989847715736,1.0,0.5126903553299492,0.0050761421319796,0.416243654822335,0.5903319530807523
detector_provenance,ffpp,jpeg_q50,jpeg_mild,strong,197,84,113,0.0,0.2212389380530973,0.0530973451327433,0.0710659898477157,1.0,0.3756345177664975,0.1015228426395939,0.4517766497461929,0.4999233434939638
detector_provenance,ffpp,blur_s2,blur_mild,moderate,197,84,113,0.6666666666666666,0.0088495575221238,0.0,0.1725888324873096,0.7611940298507462,0.6802030456852792,0.0913705583756345,0.0558375634517766,0.849852826271561
detector_provenance,ffpp,combo_comp_blur_noise,mixed_severe,severe,197,84,113,0.0595238095238095,0.0353982300884955,0.0,0.0913705583756345,1.0,0.4873096446700508,0.1472081218274111,0.2741116751269035,0.6467558981710522
detector_provenance,dfdc,clean_cross_dataset,cross_dataset,cross_dataset,354,71,283,0.0422535211267605,0.7102473498233216,0.4522968197879858,0.1186440677966101,1.0,0.1214689265536723,0.231638418079096,0.5282485875706214,0.3791690978320937
detector_watermark,ffpp,clean,clean,none,197,84,113,0.0119047619047619,0.0088495575221238,0.0,0.0253807106598984,1.0,0.5482233502538071,0.0050761421319796,0.4213197969543147,0.5670063735842582
detector_watermark,ffpp,jpeg_q50,jpeg_mild,strong,197,84,113,0.0,0.247787610619469,0.1415929203539823,0.0862944162436548,1.0,0.3451776649746192,0.0609137055837563,0.5076142131979695,0.4405919726782811
detector_watermark,ffpp,blur_s2,blur_mild,moderate,197,84,113,0.7738095238095238,0.0176991150442477,0.0,0.1472081218274111,0.7414965986394558,0.7461928934010152,0.0862944162436548,0.0203045685279187,0.8648883278957555
detector_watermark,ffpp,combo_comp_blur_noise,mixed_severe,severe,197,84,113,0.0119047619047619,0.0707964601769911,0.0,0.116751269035533,1.0,0.4213197969543147,0.065989847715736,0.3959390862944162,0.5765589253586185
detector_watermark,dfdc,clean_cross_dataset,cross_dataset,cross_dataset,354,71,283,0.0140845070422535,0.7915194346289752,0.6007067137809188,0.0932203389830508,1.0,0.0762711864406779,0.1864406779661017,0.6440677966101694,0.2986931042917085
detector_provenance_watermark,ffpp,clean,clean,none,197,84,113,0.0119047619047619,0.0,0.0,0.0913705583756345,1.0,0.4873096446700508,0.2081218274111675,0.2131979695431472,0.5777968712397754
detector_provenance_watermark,ffpp,jpeg_q50,jpeg_mild,strong,197,84,113,0.0,0.1946902654867256,0.0353982300884955,0.1015228426395939,1.0,0.3604060913705584,0.3350253807106599,0.2030456852791878,0.4971214438762786
detector_provenance_watermark,ffpp,blur_s2,blur_mild,moderate,197,84,113,0.5833333333333334,0.0088495575221238,0.0,0.2030456852791878,0.7933884297520661,0.6142131979695431,0.1624365482233502,0.0203045685279187,0.8246455827204489
detector_provenance_watermark,ffpp,combo_comp_blur_noise,mixed_severe,severe,197,84,113,0.0714285714285714,0.0353982300884955,0.0,0.1015228426395939,1.0,0.482233502538071,0.2741116751269035,0.1421319796954314,0.6324705907690001
detector_provenance_watermark,dfdc,clean_cross_dataset,cross_dataset,cross_dataset,354,71,283,0.028169014084507,0.696113074204947,0.3498233215547703,0.1129943502824858,1.0,0.135593220338983,0.3757062146892655,0.3757062146892655,0.3914954734102508
