dataset,condition,accuracy,f1,auc,fpr,fnr,delta_auc,delta_fnr
ffpp,blur_s1,0.934010152284264,0.9451476793248944,0.993889591234724,0.1428571428571428,0.0088495575221238,0.0057943531394859,0.0
ffpp,blur_s2,0.6243654822335025,0.7516778523489933,0.9070796460176992,0.8690476190476191,0.0088495575221238,0.0926042983565107,0.0
ffpp,brightness_07,0.9898477157360406,0.9911504424778761,0.9992625368731564,0.011904761904761904,0.008849557522123894,0.0004214075010536833,9.367506770274758e-17
ffpp,brightness_13,0.9898477157360406,0.9910714285714286,1.0,0.0,0.017699115044247787,-0.00031605562578995716,0.008849557522123987
ffpp,clean,0.9898477157360406,0.991150442477876,0.99968394437421,0.0119047619047619,0.0088495575221238,0.0,0.0
ffpp,combo_comp_blur_noise,0.964467005076142,0.968609865470852,0.9963126843657812,0.023809523809523,0.044247787610619,0.0033712600084289,0.0353982300884952
ffpp,contrast_07,0.9847715736040609,0.9866666666666667,0.9987357774968394,0.011904761904761904,0.017699115044247787,0.0009481668773706486,0.008849557522123987
ffpp,crop_80,0.9847715736040608,0.986784140969163,0.9997892962494732,0.0238095238095238,0.0088495575221238,-0.0001053518752632,0.0
ffpp,crop_90,0.9949238578680204,0.9955947136563876,0.99968394437421,0.0119047619047619,0.0,0.0,-0.0088495575221238
ffpp,gaussian_noise_s8,0.8527918781725888,0.8527918781725888,0.9861989043404973,0.0,0.25663716814159293,0.013485040033712759,0.24778761061946913
ffpp,jpeg_q30,0.9390862944162437,0.9439252336448598,0.9978929624947324,0.0,0.10619469026548672,0.0017909818794776822,0.09734513274336293
ffpp,jpeg_q50,0.8730964467005076,0.8756218905472637,0.9954698693636748,0.0,0.2212389380530973,0.0042140750105352,0.2123893805309734
ffpp,jpeg_q75,0.9898477157360406,0.991150442477876,0.9995785924989464,0.0119047619047619,0.0088495575221238,0.0001053518752633,0.0
ffpp,jpeg_q95,0.9898477157360406,0.991150442477876,0.9995785924989464,0.0119047619047619,0.0088495575221238,0.0001053518752633,0.0
ffpp,pixelate_b8,0.5736040609137056,0.7290322580645161,0.6352718078381795,1.0,0.0,0.36441213653603055,-0.0088495575221238
ffpp,resize_reencode,0.9949238578680204,0.9955947136563876,0.9992625368731564,0.0119047619047619,0.0,0.0004214075010535,-0.0088495575221238
ffpp,speckle_s005,0.9086294416243654,0.9134615384615384,0.9947324062368309,0.0,0.1592920353982301,0.004951538137379141,0.1504424778761063
